51922	2	0.468218412	0	0.999008821	1	0.85	0.9023385	0.468218412	0	0	0	0	0.057142857	0	0	0	0	0	0	0	0
6893	1	0.225485903	0	0.999008821	1	0.65	0.899112983	0.225485903	0	0	0	0	0	0	0	0	0	0	0	0	0
9183	1	0.302960892	0	0.999008821	1	1	0.927963444	0.302960892	0	0	0	0.090909091	0	0	0	0	0	0	0	0	0
19915	1	0.161990097	0	0.999008821	1	0.4	0.900367351	0.161990097	0	0	0	0	0.028571429	0	0	0	0	0	0	0	0
20242	1	0.120322026	0	0.999008821	1	0.4	0.899829764	0.120322026	0	0	0.047619048	0	0.085714286	0	0	0	0	0	0.018987342	0	0
29145	1	0.184727322	0	0.999008821	1	0.45	0.896514649	0.184727322	0	0	0	0	0	0	0	0	0	0	0	0	0
38222	1	0.313975814	0	0.999008821	1	0.75	0.90466804	0.313975814	0	0	0.047619048	0	0.028571429	0	0	0	0	0	0.012658228	0	0
39747	1	0.198167548	0	0.999008821	1	0.45	0.937192008	0.198167548	0	0	0	0	0	0	0	0	0	0	0.006329114	0	0
45394	1	0.306430424	0	0.999008821	1	0.7	0.902159305	0.306430424	0	0	0.047619048	0.181818182	0.028571429	0	0	0.05	0	0	0.006329114	0	0
46056	1	0.224037457	0	0.999008821	1	0.55	0.923573157	0.224037457	0	0	0	0	0	0	0	0	0	0	0	0	0
49149	1	0.379256914	0	0.999008821	1	0.6	0.904936834	0.379256914	0	0	0	0	0	0	0	0	0	0	0	0	0
49659	1	0.180954627	0	0.999008821	1	0.6	0.898933787	0.180954627	0	0	0.047619048	0	0	0	0	0	0	0	0.012658228	0	0
52321	1	0.169737596	0	0.999008821	0.959952631	0.4	0.896783442	0.169737596	0	0	0	0	0	0	0	0	0	0	0	0	0
52383	1	0.264257082	0	0.999008821	1	0.8	0.910312696	0.264257082	0	0	0	0	0	0	0	0	0	0	0	0	0
52535	1	0.17886617	0	0.999008821	1	0.6	0.915150972	0.17886617	0.166666667	0	0	0	0.057142857	0	0	0	0	0	0	0	0
53201	1	0.227574359	0	0.999008821	1	0.6	0.91524057	0.227574359	0	0	0	0	0.142857143	0	0	0	0	0	0.018987342	0	0
53280	1	0.165055411	0	0.999008821	1	0.6	0.900098557	0.165055411	0.166666667	0.333333333	0.047619048	0.090909091	0.057142857	0	0.1	0	0	0	0.018987342	0	0
53674	1	0.184828376	0	0.999008821	1	0.8	0.944359824	0.184828376	0.5	0	0	0.272727273	0.2	0	0.3	0	0	0	0.012658228	0.111111111	0
55483	1	0.179674605	0	0.999008821	1	0.65	0.901980109	0.179674605	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0
56374	1	0.16977128	0	0.999008821	1	0.75	0.901084132	0.16977128	0	0	0	0	0	0	0	0	0	0	0	0	0
56757	1	0.239902988	0.125	0.999008821	0.991089553	0.6	0.945793388	0.239902988	0	0	0.19047619	0	0.257142857	0	0	0.05	0	0.142857143	0.037974684	0.333333333	0
59291	1	0.139623404	0	0.999008821	1	0.75	0.921333214	0.139623404	0	0	0	0.272727273	0.057142857	0.055555556	0.1	0	0	0	0.006329114	0	0
62752	1	0.209519318	0	0.999008821	1	0.7	0.897321029	0.209519318	0	0	0	0	0.028571429	0	0.1	0.05	0	0	0	0	0
62968	1	0.253579008	0	0.999008821	1	1	0.917928501	0.253579008	0	0	0	0	0	0	0	0	0	0	0	0	0
63954	1	0.23343551	0.125	0.999008821	1	0.65	0.91873488	0.23343551	0	0	0.047619048	0.363636364	0	0	0	0	0	0	0.006329114	0	0
64712	1	0.403981541	0	0.999008821	1	0.8	0.896783442	0.403981541	0	0	0.095238095	0	0	0	0	0	0	0	0	0	0
72945	1	0.232930239	0	0.999008821	1	0.7	0.89687304	0.232930239	0	0	0	0	0	0	0	0	0	0	0	0	0
51	0	0	0.25	0.99306175	1	0.15	0.896783442	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	0	0.098527975	0	0.999008821	0.98765915	0.4	0.900725741	0.098527975	0	0	0	0	0	0	0	0	0	0	0	0	0
81	0	0.315862162	0	0.999008821	1	0.75	0.900994535	0.315862162	0	0	0	0	0	0	0	0	0	0.142857143	0	0	0
101	0	0.171354465	0	0.999008821	1	0.65	0.904220052	0.171354465	0	0	0	0	0	0	0	0	0	0	0	0	0
107	0	0.434904167	0.125	0.999008821	0.996552347	0.4	0.895887465	0.434904167	0	0	0	0	0	0	0	0	0	0	0	0	0
121	0	0.14022973	0	0.992070572	0.986079879	0.15	0.896066661	0.14022973	0	0	0	0	0	0	0	0	0	0	0	0	0
128	0	0.217738404	0	0.999008821	1	0.65	0.899023385	0.217738404	0	0	0	0	0	0	0	0	0	0	0	0	0
138	0	0.083369825	0	0.999008821	1	0.35	0.90117373	0.083369825	0	0	0	0	0	0	0	0	0	0	0	0	0
156	0	0	0.5	0.992070572	1	0.1	0.896245856	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	0	0.227069087	0	0.999008821	1	0.85	0.900904937	0.227069087	0	0	0	0	0	0	0	0	0	0	0	0	0
165	0	0.162630107	0.25	1	1	0.35	0.897679419	0.162630107	0	0	0	0	0	0	0	0	0	0	0	0	0
171	0	0.175464008	0	0.999008821	1	0.6	0.926977869	0.175464008	0	0	0	0	0	0	0	0	0	0	0	0	0
174	0	0.118031462	0	0.999008821	1	0.3	0.910043903	0.118031462	0	0	0	0	0	0	0	0	0	0	0	0	0
175	0	0.222454273	0.625	0.992070572	1	0.3	0.901352925	0.222454273	0	0	0	0	0	0	0	0	0	0	0	0	0
